model,declared_pcf,pred_median,pred_lo90,pred_hi90,pred_lo95,pred_hi95,error,abs_error,in_90pct_ci,model_key,declared,brand,year,tier,signed_residual,residual,ci_width,covered
pixel 6,85.0,74.43368198177376,59.15443163807292,88.66237985596185,55.75607770357929,91.55678122178396,-10.56631801822624,10.56631801822624,True,pixel 6,85.0,Google,2021,Mid-range,10.56631801822624,10.56631801822624,29.507948217888924,True
galaxy s23,54.0,66.2140623246303,50.47328653174996,83.24091858431748,47.25857449998121,86.84774239970531,12.214062324630303,12.214062324630303,True,galaxy s23,54.0,Samsung,2023,Flagship,-12.214062324630305,12.214062324630305,32.76763205256752,True
