parameter,prior_mean,prior_sd,baseline_mean,baseline_sd,mean_plus_50pct_mean,mean_plus_50pct_sd,mean_minus_50pct_mean,mean_minus_50pct_sd,sd_plus_50pct_mean,sd_plus_50pct_sd,sd_minus_50pct_mean,sd_minus_50pct_sd,flat_priors_mean,flat_priors_sd
battery_ef,120.0,30.0,123.222,27.803,167.147,21.97,84.969,18.463,126.612,34.178,120.439,14.99,131.028,40.658
display_ef,0.03,0.008,0.031,0.008,0.045,0.008,0.017,0.007,0.032,0.012,0.03,0.004,0.059,0.027
material_ef,18.0,5.0,18.586,4.581,24.687,3.51,12.624,3.286,18.966,5.456,18.085,2.507,19.24,6.321
semiconductor_intensity,0.8,0.3,0.818,0.25,0.987,0.254,0.609,0.24,0.821,0.309,0.803,0.146,0.672,0.388
assembly_ef,3.5,1.0,3.567,0.986,5.255,1.024,2.181,0.8,3.743,1.355,3.523,0.497,4.584,1.994
transport_ef,2.0,0.6,2.029,0.58,3.0,0.603,1.231,0.454,2.137,0.827,2.007,0.299,2.775,1.305
lifetime_years,3.0,0.5,3.112,0.482,4.51,0.497,2.426,0.32,3.294,0.67,3.028,0.248,4.172,1.096
grid_ef,0.45,0.07,0.462,0.069,0.675,0.069,0.24,0.07,0.476,0.104,0.453,0.034,0.752,0.282
